	30.3s : 123.123m/z	35.5s : 124.124m/z	40.4s : 125.125m/z	50.5s : 126.126m/z	60.6s : 127.127m/z	70.0s : 128.128m/z	80.8s : 129.129m/z	90.9s : 130.13m/z	200.5s : 131.131m/z	300.8s : 132.132m/z	600.1s : 133.133m/z	700.7s : 134.134m/z	750.8s : 135.135m/z	800.9s : 136.136m/z	850.0s : 137.137m/z	900.8s : 138.138m/z	1000.3s : 139.139m/z	1010.1s : 140.14m/z	1020.2s : 141.141m/z	1030.3s : 142.142m/z	1040.4s : 143.143m/z	1050.5s : 144.144m/z	1080s : 145.145m/z
X:\Sample1-a.d	0	0	0	0	0	0	0	161585	113763	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\Sample2-a.d	0	0	0	0	0	0	0	53863	1208	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735
X:\Sample3-a.d	0	0	0	0	244502	1249	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	0	435657
X:\Sample4-a.d	469586	251906	161585	113763	254963	0	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940
X:\Sample5-a.d	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679
X:\Sample1-b.d	0	0	0	0	0	0	0	161585	113763	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\Sample2-b.d	0	0	0	0	0	0	0	53863	1208	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735
X:\Sample3-b.d	0	0	0	0	2402	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	0	40498	435657
X:\Sample4-b.d	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	0	96830	0	1092	395738	0	98527	156818	46774	407940
X:\Sample5-b.d	4569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679
X:\Sample1-c.d	0	0	0	0	0	0	0	161585	113763	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\Sample2-c.d	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735
X:\Sample3-c.d	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	0	72438	127483	192848	40498	435657
X:\Sample4-c.d	469586	251906	161585	113763	254963	122061	0	92258	1940	0	0	0	131907	304436	96830	0	109582	0	0	98527	156818	46774	407940
X:\Sample5-c.d	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679
X:\Sample1-d.d	0	0	0	0	0	0	0	161585	113763	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\Sample2-d.d	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735
X:\Sample3-d.d	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	0	0	46051	238835	72438	127483	192848	40498	435657
X:\Sample4-d.d	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	0	46774	407940
X:\Sample5-d.d	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679
X:\Sample1-e.d	0	0	0	0	0	0	0	161585	113763	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\Sample2-e.d	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735
X:\Sample3-e.d	0	0	0	0	244502	124939	87174	80010	0	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657
X:\Sample4-e.d	4586	251906	161585	113763	254963	1061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	474	0
X:\Sample5-e.d	402569	0	0	0	192856	100565	0	109969	2284	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679
